type,rank,name,country,score,startDate,competition,competition_short,url,season,gender
FS,21,Pernille SORENSEN,DEN,88.18,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,11,Emmi PELTONEN,FIN,52.68,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,9,Alexia PAGANINI,SUI,54.95,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,17,Anne Line GJERSEM,NOR,48.7,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,16,Lea Johanna DASTICH,GER,49.89,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,15,Ivett TOTH,HUN,50.7,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,14,Viveca LINDFORS,FIN,51.62,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,19,Micol CRISTINI,ITA,48.22,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,12,Eliska BREZINOVA,CZE,52.06,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,20,Dasa GRM,SLO,47.4,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,10,Mae Berenice MEITE,FRA,54.14,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
